실험명,물체종류,측정조건,실제총무게_g,반복번호,표본번호,X축힘_N,Y축힘_N,Z축힘_N,X축모멘트_Nm,Y축모멘트_Nm,Z축모멘트_Nm
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,7,-0.5796601772,1.791674852,1.156216264,2.902349472,-3.537184954,0.1505992115
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,8,-0.5857974887,1.769885778,1.156305075,2.902347803,-3.537184,0.1494303346
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,9,-0.5857974887,1.769885778,1.156305075,2.902347803,-3.537184,0.1494303346
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,11,10,-0.5566620231,1.844544888,1.187510967,2.902351141,-3.537185669,0.1517547518
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,1,-0.488858372,1.84785831,1.285650849,2.902349472,-3.537184715,0.150547877
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,2,-0.488858372,1.84785831,1.285650849,2.902349472,-3.537184715,0.150547877
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,3,-0.4599654377,1.848556399,1.292838335,2.902348518,-3.537184238,0.1498335153
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,4,-0.4599654377,1.848556399,1.292838335,2.902348518,-3.537184238,0.1498335153
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,5,-0.447563678,1.857556462,1.278235555,2.902346611,-3.537183285,0.1485705525
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,6,-0.447563678,1.857556462,1.278235555,2.902346611,-3.537183285,0.1485705525
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,7,-0.4671992064,1.822003961,1.262526274,2.902348757,-3.537184477,0.1500232518
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,8,-0.4671992064,1.822003961,1.262526274,2.902348757,-3.537184477,0.1500232518
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,9,-0.4718631804,1.805379868,1.275725722,2.902345419,-3.537182808,0.1477326006
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,12,10,-0.4718631804,1.805379868,1.275725722,2.902345419,-3.537182808,0.1477326006
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,1,-0.4936028421,1.894468665,1.325533748,2.90234971,-3.537184954,0.1507333964
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,2,-0.4936028421,1.894468665,1.325533748,2.90234971,-3.537184954,0.1507333964
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,3,-0.5067065954,1.883965969,1.320927262,2.902344465,-3.537182331,0.1470673382
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,4,-0.5067065954,1.883965969,1.320927262,2.902344465,-3.537182331,0.1470673382
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,5,-0.5449541807,1.808538795,1.306082606,2.902344465,-3.537182331,0.1470995843
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,6,-0.5449541807,1.808538795,1.306082606,2.902344465,-3.537182331,0.1470995843
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,7,-0.5561067462,1.785183549,1.346509933,2.902346134,-3.537183285,0.148275733
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,8,-0.5561067462,1.785183549,1.346509933,2.902346134,-3.537183285,0.148275733
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,9,-0.5010114312,1.911477447,1.365872145,2.902349472,-3.537184715,0.1505444199
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,13,10,-0.5010114312,1.911477447,1.365872145,2.902349472,-3.537184715,0.1505444199
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,1,-0.5956689119,1.853916168,1.257979512,2.902345419,-3.537182808,0.1477231532
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,2,-0.6086236835,1.862718105,1.260257483,2.902348757,-3.537184477,0.1501240283
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,3,-0.6054421663,1.906082153,1.284252524,2.902348518,-3.537184477,0.1499676108
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,4,-0.6054421663,1.906082153,1.284252524,2.902348518,-3.537184477,0.1499676108
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,5,-0.5923124552,1.938779354,1.278823137,2.902349234,-3.537184715,0.1504421234
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,6,-0.6071965098,1.954129934,1.29422164,2.902349949,-3.537184954,0.1508643627
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,7,-0.6071965098,1.954129934,1.29422164,2.902349949,-3.537184954,0.1508643627
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,8,-0.6338314414,1.943209767,1.287105918,2.902343988,-3.537182093,0.1466435045
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,9,-0.6338314414,1.943209767,1.287105918,2.902343988,-3.537182093,0.1466435045
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,14,10,-0.643779099,1.928103566,1.30924952,2.902344465,-3.537182331,0.1470580548
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,1,-0.6530130506,1.917222619,1.185586572,2.902348757,-3.537184477,0.1500712186
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,2,-0.6653342247,1.925518274,1.182784319,2.902345181,-3.53718257,0.1475304961
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,3,-0.6653342247,1.925518274,1.182784319,2.902345181,-3.53718257,0.1475304961
scoop_total133g_signminus_offset270_set14,스쿱,scoop_total_133g,133,15,4,-0.6598533392,1.917943001,1.181774974,2.902346611,-3.537183285,0.1484718621
